tag,count,ratio
prophylactic_latent,251,0.251755
deferred_initiative,228,0.228686
neutral_maneuver,221,0.221665
control_over_dynamics,193,0.193581
constructive_maneuver,144,0.144433
structural_integrity,120,0.120361
control_file_seal,117,0.117352
cod_file_seal,89,0.089268
neutral_tension_creation,83,0.083250
maneuver_opening,82,0.082247
prophylactic_direct,65,0.065196
forced_move,64,0.064193
control_regroup_consolidate,62,0.062187
winning_position_handling,60,0.060181
structural_compromise_dynamic,59,0.059178
tension_creation,55,0.055165
risk_avoidance,53,0.053159
failed_maneuver,39,0.039117
misplaced_maneuver,39,0.039117
control_king_safety_shell,38,0.038114
initiative_attempt,37,0.037111
control_plan_kill,36,0.036108
prophylactic_meaningless,36,0.036108
positional_sacrifice,33,0.033099
constructive_maneuver_prepare,31,0.031093
accurate_knight_bishop_exchange,29,0.029087
cod_regroup_consolidate,29,0.029087
file_pressure_c,29,0.029087
positional_space_sacrifice,29,0.029087
cod_king_safety_shell,27,0.027081
opening_central_pawn_move,21,0.021063
prophylactic_failed,19,0.019057
structural_compromise_static,16,0.016048
opening_rook_pawn_move,15,0.015045
control_freeze_bind,14,0.014042
losing_position_handling,14,0.014042
inaccurate_knight_bishop_exchange,13,0.013039
premature_attack,13,0.013039
cod_freeze_bind,12,0.012036
positional_structure_sacrifice,10,0.010030
cod_plan_kill,9,0.009027
tactical_sacrifice,9,0.009027
control_space_clamp,7,0.007021
missed_tactic,7,0.007021
tactical_initiative_sacrifice,7,0.007021
speculative_sacrifice,6,0.006018
control_blockade_passed,4,0.004012
bad_knight_bishop_exchange,3,0.003009
cod_blockade_passed,3,0.003009
tactical_sensitivity,3,0.003009
inaccurate_tactical_sacrifice,2,0.002006
tactical_combination_sacrifice,2,0.002006
structural_blockage,1,0.001003
