tag,count,ratio
winning_position_handling,10,0.256410
prophylactic_latent,9,0.230769
maneuver_opening,5,0.128205
prophylactic_direct,5,0.128205
structural_compromise_dynamic,5,0.128205
forced_move,4,0.102564
structural_integrity,4,0.102564
positional_sacrifice,3,0.076923
positional_space_sacrifice,3,0.076923
accurate_knight_bishop_exchange,2,0.051282
constructive_maneuver,2,0.051282
control_file_seal,2,0.051282
control_over_dynamics,2,0.051282
control_plan_kill,2,0.051282
deferred_initiative,2,0.051282
failed_maneuver,2,0.051282
misplaced_maneuver,2,0.051282
neutral_maneuver,2,0.051282
opening_central_pawn_move,2,0.051282
risk_avoidance,2,0.051282
tension_creation,2,0.051282
cod_file_seal,1,0.025641
cod_plan_kill,1,0.025641
control_freeze_bind,1,0.025641
control_space_clamp,1,0.025641
file_pressure_c,1,0.025641
missed_tactic,1,0.025641
neutral_tension_creation,1,0.025641
opening_rook_pawn_move,1,0.025641
premature_attack,1,0.025641
prophylactic_meaningless,1,0.025641
structural_compromise_static,1,0.025641
