tag,count,ratio
prophylactic_latent,314,0.293184
deferred_initiative,253,0.236228
neutral_maneuver,235,0.219421
control_over_dynamics,230,0.214753
constructive_maneuver,172,0.160598
control_file_seal,130,0.121382
cod_file_seal,110,0.102708
structural_integrity,109,0.101774
neutral_tension_creation,105,0.098039
maneuver_opening,103,0.096172
tension_creation,92,0.085901
prophylactic_direct,87,0.081232
risk_avoidance,87,0.081232
structural_compromise_dynamic,74,0.069094
control_regroup_consolidate,64,0.059757
control_king_safety_shell,49,0.045752
accurate_knight_bishop_exchange,48,0.044818
losing_position_handling,45,0.042017
opening_central_pawn_move,45,0.042017
positional_sacrifice,45,0.042017
positional_space_sacrifice,44,0.041083
control_plan_kill,43,0.040149
forced_move,40,0.037348
file_pressure_c,39,0.036415
constructive_maneuver_prepare,37,0.034547
cod_king_safety_shell,33,0.030812
cod_regroup_consolidate,33,0.030812
initiative_attempt,27,0.025210
failed_maneuver,25,0.023343
misplaced_maneuver,25,0.023343
prophylactic_meaningless,21,0.019608
winning_position_handling,19,0.017740
structural_compromise_static,16,0.014939
control_freeze_bind,15,0.014006
premature_attack,15,0.014006
prophylactic_failed,15,0.014006
cod_freeze_bind,13,0.012138
inaccurate_knight_bishop_exchange,13,0.012138
cod_plan_kill,12,0.011204
opening_rook_pawn_move,12,0.011204
tactical_sacrifice,12,0.011204
control_space_clamp,9,0.008403
positional_structure_sacrifice,9,0.008403
tactical_initiative_sacrifice,9,0.008403
bad_knight_bishop_exchange,6,0.005602
speculative_sacrifice,5,0.004669
missed_tactic,4,0.003735
failed_prophylactic,3,0.002801
tactical_combination_sacrifice,3,0.002801
cod_blockade_passed,2,0.001867
control_blockade_passed,2,0.001867
structural_blockage,1,0.000934
tactical_sensitivity,1,0.000934
