tag,count,ratio
winning_position_handling,21,0.235955
prophylactic_latent,17,0.191011
prophylactic_direct,15,0.168539
control_over_dynamics,12,0.134831
maneuver_opening,10,0.112360
structural_integrity,10,0.112360
constructive_maneuver,9,0.101124
structural_compromise_dynamic,9,0.101124
forced_move,8,0.089888
neutral_maneuver,8,0.089888
positional_sacrifice,8,0.089888
control_file_seal,7,0.078652
control_plan_kill,7,0.078652
deferred_initiative,7,0.078652
positional_space_sacrifice,7,0.078652
tension_creation,7,0.078652
cod_file_seal,6,0.067416
risk_avoidance,6,0.067416
accurate_knight_bishop_exchange,5,0.056180
cod_plan_kill,5,0.056180
failed_maneuver,4,0.044944
misplaced_maneuver,4,0.044944
opening_central_pawn_move,4,0.044944
constructive_maneuver_prepare,2,0.022472
control_king_safety_shell,2,0.022472
neutral_tension_creation,2,0.022472
prophylactic_meaningless,2,0.022472
bad_knight_bishop_exchange,1,0.011236
control_blockade_passed,1,0.011236
control_freeze_bind,1,0.011236
control_regroup_consolidate,1,0.011236
control_space_clamp,1,0.011236
file_pressure_c,1,0.011236
missed_tactic,1,0.011236
opening_rook_pawn_move,1,0.011236
positional_structure_sacrifice,1,0.011236
premature_attack,1,0.011236
structural_compromise_static,1,0.011236
tactical_initiative_sacrifice,1,0.011236
tactical_sacrifice,1,0.011236
