tag,count,ratio
prophylactic_latent,43,0.373913
constructive_maneuver,39,0.339130
deferred_initiative,32,0.278261
control_over_dynamics,31,0.269565
neutral_maneuver,30,0.260870
neutral_tension_creation,28,0.243478
control_file_seal,17,0.147826
cod_file_seal,14,0.121739
control_king_safety_shell,9,0.078261
prophylactic_direct,9,0.078261
control_regroup_consolidate,8,0.069565
maneuver_opening,8,0.069565
risk_avoidance,8,0.069565
structural_compromise_dynamic,8,0.069565
cod_king_safety_shell,7,0.060870
file_pressure_c,6,0.052174
structural_integrity,6,0.052174
constructive_maneuver_prepare,5,0.043478
control_plan_kill,5,0.043478
positional_sacrifice,5,0.043478
tactical_sacrifice,5,0.043478
cod_regroup_consolidate,4,0.034783
initiative_attempt,4,0.034783
positional_space_sacrifice,4,0.034783
accurate_knight_bishop_exchange,3,0.026087
tactical_initiative_sacrifice,3,0.026087
failed_maneuver,2,0.017391
forced_move,2,0.017391
misplaced_maneuver,2,0.017391
prophylactic_meaningless,2,0.017391
tension_creation,2,0.017391
winning_position_handling,2,0.017391
cod_freeze_bind,1,0.008696
cod_plan_kill,1,0.008696
control_freeze_bind,1,0.008696
control_space_clamp,1,0.008696
missed_tactic,1,0.008696
opening_rook_pawn_move,1,0.008696
positional_structure_sacrifice,1,0.008696
speculative_sacrifice,1,0.008696
structural_compromise_static,1,0.008696
tactical_combination_sacrifice,1,0.008696
